OID_,AREA,PERIMETER,NBO_,NBO_ID,NAME,COMMPLAN,SHARED,COALIT,CHECK,HORZ_VERT,AREASQMI
0,306955840.000000000000000,74951.922000000005937,2.000000000000000,233.000000000000000,ST. JOHNS, , ,NPNS,y,HORZ,11.010482241300000
1,89745808.000000000000000,63622.167999999997846,3.000000000000000,238.000000000000000,HAYDEN ISLAND, , ,NPNS,y,HORZ,3.219175044620000
2,60696720.000000000000000,121064.195000000006985,4.000000000000000,235.000000000000000,LINNTON, , ,NWNW,y,VERT,2.177186574470000
3,168581120.000000000000000,132532.469000000011874,5.000000000000000,243.000000000000000,FOREST PARK/LINNTON, ,Y,NWNW,nl,VERT,6.046991557690000
4,95750912.000000000000000,44036.050999999999476,6.000000000000000,57.000000000000000,KENTON,ALBINA, ,NPNS,y,VERT,3.434577664060000
5,342015104.000000000000000,188868.344000000011874,7.000000000000000,236.000000000000000,FOREST PARK, , ,NWNW,y,VERT,12.268054953700000
6,7023329.000000000000000,16725.938999999998487,8.000000000000000,62.000000000000000,BRIDGETON, , ,NPNS,y,HORZ,0.251926249931000
7,62555744.000000000000000,35067.233999999996740,9.000000000000000,69.000000000000000,EAST COLUMBIA, , ,NPNS,w,HORZ,2.243869632130000
8,491283.313000000023749,2857.856999999999971,10.000000000000000,63.000000000000000,MC UNCLAIMED #2, , ,unclaimed,x, ,0.017622293509300
9,28593724.000000000000000,26257.143000000000029,11.000000000000000,234.000000000000000,CATHEDRAL PARK, , ,NPNS,y,HORZ,1.025654629800000
10,46761096.000000000000000,41368.730000000003201,12.000000000000000,66.000000000000000,SUNDERLAND, , ,CNN,y,HORZ,1.677316777490000
11,30325378.000000000000000,23330.528999999998632,13.000000000000000,70.000000000000000,PORTSMOUTH, , ,NPNS,y,HORZ,1.087768937890000
12,5195466.000000000000000,13397.522999999999229,14.000000000000000,63.000000000000000,MC UNCLAIMED #1, , ,unclaimed,x, ,0.186360950571000
13,36816476.000000000000000,27452.366999999998370,15.000000000000000,72.000000000000000,UNIVERSITY PARK, , ,NPNS,y,HORZ,1.320604110170000
14,84093968.000000000000000,54376.328000000001339,16.000000000000000,73.000000000000000,NORTHWEST INDUSTRIAL, , ,NWNW,y,HORZ,3.016443855820000
15,26864772.000000000000000,21002.870999999999185,17.000000000000000,74.000000000000000,PIEDMONT,ALBINA, ,NPNS,y,VERT,0.963637222066000
16,20413986.000000000000000,18551.044999999998254,18.000000000000000,75.000000000000000,WOODLAWN,ALBINA, ,NECN,y,VERT,0.732248069420000
17,87475928.000000000000000,41757.987999999997555,19.000000000000000,81.000000000000000,CULLY, , ,CNN,y,HORZ,3.137754609180000
18,24192888.000000000000000,21751.903999999998632,20.000000000000000,77.000000000000000,ARBOR LODGE,ALBINA, ,NPNS,y,HORZ,0.867797002242000
19,88766304.000000000000000,43460.694999999999709,21.000000000000000,79.000000000000000,OVERLOOK,ALBINA, ,NPNS,y,VERT,3.184040238060000
20,36980104.000000000000000,25984.146000000000640,22.000000000000000,80.000000000000000,CONCORDIA,ALBINA, ,NECN,y,VERT,1.326473343890000
21,56018240.000000000000000,34908.843999999997322,23.000000000000000,78.000000000000000,PARKROSE, , ,EPNO,x,VERT,2.009369773810000
22,22049164.000000000000000,22462.967000000000553,24.000000000000000,231.000000000000000,SUMNER, , ,CNN,y,HORZ,0.790901778695000
23,57232916.000000000000000,30436.028999999998632,25.000000000000000,88.000000000000000,ARGAY, , ,EPNO,y,VERT,2.052940203250000
24,15327380.000000000000000,15801.513000000000829,26.000000000000000,85.000000000000000,HUMBOLDT,ALBINA, ,NECN,y,VERT,0.549791888722000
25,17629492.000000000000000,20442.837999999999738,27.000000000000000,86.000000000000000,KING,ALBINA, ,NECN,y,VERT,0.632368450942000
26,8290458.000000000000000,12562.372999999999593,28.000000000000000,87.000000000000000,VERNON,ALBINA, ,NECN,y,VERT,0.297378068485000
27,85582584.000000000000000,53932.733999999996740,29.000000000000000,89.000000000000000,WILKES, , ,EPNO,y,VERT,3.069840407290000
28,20108780.000000000000000,19686.787000000000262,30.000000000000000,91.000000000000000,BEAUMONT-WILSHIRE, , ,CNN,y,VERT,0.721300320744000
29,10182783.000000000000000,13920.047000000000480,31.000000000000000,92.000000000000000,SABIN,ALBINA, ,NECN,y,VERT,0.365255634856000
30,13679708.000000000000000,19576.969000000000960,32.000000000000000,98.000000000000000,ALAMEDA, , ,NECN,y,VERT,0.490690037470000
31,11113887.000000000000000,15301.711999999999534,33.000000000000000,96.000000000000000,BOISE,ALBINA, ,NECN,y,VERT,0.398654245899000
32,38231764.000000000000000,43336.629000000000815,34.000000000000000,237.000000000000000,NORTHWEST HEIGHTS, , ,NWNW,n,VERT,1.371370311380000
33,23467420.000000000000000,20963.401999999998225,35.000000000000000,99.000000000000000,ROSEWAY, , ,CNN,x,VERT,0.841774500681000
34,4382122.500000000000000,11854.484000000000378,36.000000000000000,100.000000000000000,MAYWOOD PARK, , , ,x, ,0.157186381962000
35,46775284.000000000000000,35451.644999999996799,37.000000000000000,101.000000000000000,MADISON SOUTH, , ,CNN,y,HORZ,1.677825664060000
36,342735.500000000000000,3399.686000000000149,38.000000000000000,247.000000000000000,ARGAY/WILKES, ,Y,EPNO,y,VERT,0.012293895800500
37,813316.187999999965541,5971.614999999999782,39.000000000000000,253.000000000000000,BOISE/ELIOT, ,Y,NECN, ,VERT,0.029173587230200
38,23561930.000000000000000,21137.601999999998952,40.000000000000000,103.000000000000000,ELIOT,ALBINA, ,NECN,y,HORZ,0.845164556247000
39,18135968.000000000000000,19570.052999999999884,41.000000000000000,104.000000000000000,IRVINGTON,ALBINA, ,NECN,y,VERT,0.650535710553000
40,2935404.750000000000000,7492.224000000000160,42.000000000000000,105.000000000000000,SABIN/IRVINGTON,ALBINA,Y,NECN,y,VERT,0.105292733093000
41,2957189.500000000000000,7128.229000000000269,43.000000000000000,107.000000000000000,ALAMEDA/IRVINGTON,ALBINA,Y,NECN,y,VERT,0.106074157636000
42,33369360.000000000000000,22937.886999999998807,44.000000000000000,108.000000000000000,ROSE CITY PARK, , ,CNN,y,VERT,1.196956323290000
43,27144736.000000000000000,20572.539000000000669,45.000000000000000,110.000000000000000,PARKROSE HEIGHTS, , ,EPNO,y,HORZ,0.973679554531000
44,37447048.000000000000000,50503.887000000002445,46.000000000000000,112.000000000000000,NORTHWEST DISTRICT, , ,NWNW,y,HORZ,1.343222691880000
45,470374.875000000000000,3189.717999999999847,47.000000000000000,113.000000000000000,ALAMEDA/BEAUMONT-WILSHIRE, ,Y,NECN,c,VERT,0.016872310072600
46,3134587.500000000000000,25270.918000000001484,48.000000000000000,241.000000000000000,NORTHWEST DISTRICT/NORTHWEST INDUSTRIAL, ,Y,NWNW,nl,HORZ,0.112437407605000
47,205138.655999999988126,3058.005000000000109,49.000000000000000,249.000000000000000,FOREST PARK/NORTHWEST DISTRICT, ,Y,NWNW, ,VERT,0.007358307352510
48,22263396.000000000000000,19650.513999999999214,50.000000000000000,114.000000000000000,RUSSELL, , ,EPNO,n,HORZ,0.798586268052000
49,2211890.500000000000000,6305.679000000000087,51.000000000000000,115.000000000000000,ROSEWAY/MADISON SOUTH, ,Y,CNN,y,VERT,0.079340333127900
50,12721106.000000000000000,18807.958999999998923,52.000000000000000,116.000000000000000,GRANT PARK, , ,NECN,y,HORZ,0.456305080950000
51,648352.562999999965541,4006.786999999999807,53.000000000000000,117.000000000000000,MC UNCLAIMED #5, , ,unclaimed,x, ,0.023256355627200
52,12417563.000000000000000,14943.906000000000859,54.000000000000000,119.000000000000000,PEARL, , ,NWNW,y,VERT,0.445416990118000
53,1180990.750000000000000,6055.252000000000407,55.000000000000000,120.000000000000000,GRANT PARK/HOLLYWOOD, ,Y,NECN,c,HORZ,0.042362042425000
54,4997953.500000000000000,9796.400999999999840,56.000000000000000,121.000000000000000,HOLLYWOOD, , ,CNN,y,HORZ,0.179276197884000
55,1337434.500000000000000,5230.024999999999636,57.000000000000000,122.000000000000000,WOODLAND PARK, , ,EPNO,x,VERT,0.047973669588900
56,14273267.000000000000000,17195.758000000001630,58.000000000000000,123.000000000000000,LLOYD DISTRICT, , ,NONE,x,HORZ,0.511980954031000
57,7642561.000000000000000,12884.092000000000553,59.000000000000000,124.000000000000000,SULLIVAN'S GULCH, , ,NECN,y,HORZ,0.274138049925000
58,420806.625000000000000,3630.764000000000124,60.000000000000000,125.000000000000000,MC UNCLAIMED #6, , ,unclaimed,x, ,0.015094300310500
59,60725976.000000000000000,35545.383000000001630,61.000000000000000,126.000000000000000,MONTAVILLA,Outer SE, ,SEUL,y,VERT,2.178235965260000
60,18617138.000000000000000,17615.098000000001775,62.000000000000000,127.000000000000000,LAURELHURST, , ,SEUL,y,VERT,0.667795278456000
61,2653426.000000000000000,10220.025999999999840,63.000000000000000,240.000000000000000,HILLSIDE/NORTHWEST DISTRICT, ,Y,NWNW,nl,HORZ,0.095178182147500
62,23039616.000000000000000,29818.349999999998545,64.000000000000000,128.000000000000000,KERNS, , ,SEUL,y,HORZ,0.826429229184000
63,1250206.250000000000000,5644.948000000000320,65.000000000000000,251.000000000000000,LLOYD DISTRICT/SULLIVAN'S GULCH, ,Y,NECN, ,HORZ,0.044844798609500
64,16728731.000000000000000,22360.940999999998894,66.000000000000000,129.000000000000000,HILLSIDE, , ,NWNW,y,HORZ,0.600058267808000
65,16315486.000000000000000,24233.831999999998516,67.000000000000000,130.000000000000000,NORTH TABOR, , ,SEUL,y,HORZ,0.585235207432000
66,112747584.000000000000000,65156.957000000002154,68.000000000000000,133.000000000000000,HAZELWOOD,Outer SE, ,EPNO,y,HORZ,4.044247029980000
67,7824321.500000000000000,12665.673000000000684,69.000000000000000,132.000000000000000,OLD TOWN/CHINATOWN, , ,NWNW,y,VERT,0.280657790830000
68,13678415.000000000000000,15716.078999999999724,70.000000000000000,136.000000000000000,ARLINGTON HEIGHTS, , ,NWNW,w,VERT,0.490643660465000
69,9454124.000000000000000,15576.346999999999753,71.000000000000000,137.000000000000000,GOOSE HOLLOW, , ,NWNW,y,VERT,0.339118694237000
70,8845562.000000000000000,12926.593999999999141,72.000000000000000,232.000000000000000,GLENFAIR, , ,EPNO,n,HORZ,0.317289603319000
71,11898534.000000000000000,18527.287000000000262,73.000000000000000,254.000000000000000,ARLINGTON HEIGHTS/SYLVAN-HIGHLANDS, ,Y,NWNW, ,HORZ,0.426799462677000
72,32168906.000000000000000,24474.978999999999360,74.000000000000000,140.000000000000000,BUCKMAN, , ,SEUL,y,HORZ,1.153896132270000
73,26280450.000000000000000,20690.018000000000029,75.000000000000000,142.000000000000000,DOWNTOWN, , ,NWNW,y,VERT,0.942677663426000
74,44555400.000000000000000,27359.315999999998894,76.000000000000000,143.000000000000000,MT. TABOR, , ,SEUL,y,HORZ,1.598198703920000
75,15783221.000000000000000,20573.979999999999563,77.000000000000000,144.000000000000000,SYLVAN-HIGHLANDS, , ,NWNW,y,HORZ,0.566142876014000
76,468025.500000000000000,3059.771999999999935,78.000000000000000,148.000000000000000,GOOSE HOLLOW/SOUTHWEST HILLS, ,Y,NWNW/SWNI,c,HORZ,0.016788038177400
77,2177924.250000000000000,11463.161000000000058,79.000000000000000,148.000000000000000,GOOSE HOLLOW/SOUTHWEST HILLS, ,Y,NWNW/SWNI,c,HORZ,0.078121973716600
78,64615120.000000000000000,60942.593999999997322,80.000000000000000,148.000000000000000,SOUTHWEST HILLS, , ,SWNI,c,HORZ,2.317739169560000
79,16656179.000000000000000,17919.372999999999593,81.000000000000000,147.000000000000000,SUNNYSIDE, , ,SEUL,y,HORZ,0.597455814819000
80,1304117.625000000000000,4587.775999999999840,82.000000000000000,248.000000000000000,HAZELWOOD/MILL PARK,Outer SE,Y,EPNO,y,HORZ,0.046778595921400
81,7413754.000000000000000,13398.724000000000160,83.000000000000000,148.000000000000000,SYLVAN-HIGHLANDS/SOUTHWEST HILLS, ,Y,NWNW/SWNI,c,HORZ,0.265930771045000
82,28203258.000000000000000,22508.129000000000815,84.000000000000000,149.000000000000000,MILL PARK,Outer SE, ,EPNO,y,HORZ,1.011648665480000
83,82236040.000000000000000,44999.722999999998137,85.000000000000000,151.000000000000000,CENTENNIAL,Outer SE, ,EPNO,y,VERT,2.949800367170000
84,36257812.000000000000000,26749.729999999999563,86.000000000000000,153.000000000000000,HOSFORD-ABERNETHY, , ,SEUL,y,HORZ,1.300564846470000
85,35452572.000000000000000,24476.740000000001601,87.000000000000000,154.000000000000000,RICHMOND, , ,SEUL,y,HORZ,1.271680980590000
86,47466712.000000000000000,44728.785000000003492,88.000000000000000,157.000000000000000,SOUTH PORTLAND, , ,SWNI,y,VERT,1.702627265610000
87,22640028.000000000000000,26203.525000000001455,89.000000000000000,158.000000000000000,HOMESTEAD, , ,SWNI,y,VERT,0.812096010688000
88,22278072.000000000000000,21095.594000000000960,90.000000000000000,160.000000000000000,SOUTH TABOR,Outer SE, ,SEUL,y,HORZ,0.799112684360000
89,5425594.000000000000000,14791.266999999999825,91.000000000000000,161.000000000000000,BRIDLEMILE/SOUTHWEST HILLS, ,Y,SWNI,y,HORZ,0.194615622584000
90,95737552.000000000000000,54563.777000000001863,92.000000000000000,162.000000000000000,POWELLHURST-GILBERT,Outer SE, ,EPNO,x,HORZ,3.434098487320000
91,47857496.000000000000000,36941.862999999997555,93.000000000000000,164.000000000000000,BROOKLYN ACTION CORPS, , ,SEUL,y,HORZ,1.716644591160000
92,33691048.000000000000000,31716.403999999998632,94.000000000000000,161.000000000000000,BRIDLEMILE, , ,SWNI,y,HORZ,1.208495250300000
93,22372854.000000000000000,24117.289000000000669,95.000000000000000,167.000000000000000,CRESTON-KENILWORTH, , ,SEUL,y,HORZ,0.802512473005000
94,52200468.000000000000000,42332.116999999998370,96.000000000000000,190.000000000000000,HILLSDALE, , ,SWNI,y,VERT,1.872426606870000
95,24806706.000000000000000,23776.675999999999476,97.000000000000000,168.000000000000000,FOSTER-POWELL,Outer SE, ,SEUL,y,HORZ,0.889814609210000
96,89511248.000000000000000,47064.961000000002969,98.000000000000000,169.000000000000000,LENTS,Outer SE, ,EPNO,y,VERT,3.210761392640000
97,13345925.000000000000000,19443.515999999999622,99.000000000000000,170.000000000000000,LENTS/POWELLHURST-GILBERT,Outer SE,Y,EPNO,y,HORZ,0.478717290114000
98,1640629.250000000000000,6587.311999999999898,100.000000000000000,171.000000000000000,HEALY HEIGHTS/SOUTHWEST HILLS, ,Y,SWNI,c,VERT,0.058849241818600
99,8755920.000000000000000,22233.511999999998807,101.000000000000000,246.000000000000000,CENTENNIAL/PLEASANT VALLEY,Outer SE,Y,EPNO,y,HORZ,0.314074152439000
100,169030240.000000000000000,89791.266000000003260,102.000000000000000,176.000000000000000,PLEASANT VALLEY,Outer SE, ,EPNO,y,HORZ,6.063101161150000
101,287223.813000000023749,2455.456999999999880,103.000000000000000,148.000000000000000,SOUTHWEST HILLS, , ,SWNI,c,HORZ,0.010302695966400
102,24080346.000000000000000,20888.423999999999069,104.000000000000000,181.000000000000000,MT. SCOTT-ARLETA,Outer SE, ,SEUL,y,HORZ,0.863760112241000
103,58041016.000000000000000,35849.605000000003201,105.000000000000000,179.000000000000000,SELLWOOD-MORELAND IMPROVEMENT LEAGUE, , ,SEUL,y,VERT,2.081926657100000
104,12865541.000000000000000,20507.835999999999331,106.000000000000000,180.000000000000000,REED, , ,SEUL,y,HORZ,0.461485924377000
105,34754508.000000000000000,30216.240000000001601,107.000000000000000,182.000000000000000,WOODSTOCK, , ,SEUL,y,VERT,1.246641435360000
106,31893532.000000000000000,28540.034999999999854,108.000000000000000,184.000000000000000,HAYHURST, , ,SWNI,y,HORZ,1.144018478050000
107,6080534.500000000000000,14184.216000000000349,109.000000000000000,189.000000000000000,EASTMORELAND/REED, ,Y,SEUL,y,VERT,0.218108296536000
108,23635752.000000000000000,21915.930000000000291,110.000000000000000,188.000000000000000,EASTMORELAND, , ,SEUL,y,VERT,0.847812571882000
109,8774407.000000000000000,14139.120000000000800,111.000000000000000,193.000000000000000,PLEASANT VALLEY/POWELLHURST-GILBERT,Outer SE,Y,EPNO,y,HORZ,0.314737279665000
110,17266414.000000000000000,18450.947000000000116,112.000000000000000,195.000000000000000,MAPLEWOOD, , ,SWNI,y,HORZ,0.619344896498000
111,40223780.000000000000000,30582.569999999999709,113.000000000000000,196.000000000000000,MULTNOMAH, , ,SWNI,y,VERT,1.442823804520000
112,48855416.000000000000000,31979.708999999998923,114.000000000000000,198.000000000000000,BRENTWOOD-DARLINGTON,Outer SE, ,SEUL,y,HORZ,1.752439892440000
113,11851488.000000000000000,16991.548999999999069,115.000000000000000,200.000000000000000,SOUTH BURLINGAME, , ,SWNI,y,HORZ,0.425111938153000
114,33687576.000000000000000,50284.601999999998952,116.000000000000000,201.000000000000000,ASHCREEK, , ,SWNI,y,VERT,1.208370751970000
115,17574136.000000000000000,21557.118999999998778,117.000000000000000,202.000000000000000,MC UNCLAIMED #11, , ,unclaimed,x, ,0.630382835606000
116,1248277.000000000000000,6278.525999999999840,118.000000000000000,188.000000000000000,EASTMORELAND/ARDENWALD-JOHNSON CREEK, ,Y,SEUL,y,VERT,0.044775594883400
117,24897602.000000000000000,24608.962999999999738,119.000000000000000,206.000000000000000,ARDENWALD-JOHNSON CREEK, , ,SEUL,y,HORZ,0.893075039289000
118,14473433.000000000000000,21229.645000000000437,120.000000000000000,207.000000000000000,MARKHAM, , ,SWNI,y,VERT,0.519160888114000
119,17021176.000000000000000,27790.265999999999622,121.000000000000000,208.000000000000000,MARSHALL PARK, , ,SWNI,y,VERT,0.610548241192000
120,2039560.500000000000000,6065.769000000000233,122.000000000000000,211.000000000000000,ARDENWALD-JOHNSON CREEK/WOODSTOCK, ,Y,SEUL,y,HORZ,0.073158871918500
121,24226188.000000000000000,36544.343999999997322,123.000000000000000,209.000000000000000,COLLINS VIEW, , ,SWNI,y,VERT,0.868991438097000
122,1435944.000000000000000,8454.370000000000800,124.000000000000000,206.000000000000000,ARDENWALD-JOHNSON CREEK, , ,SEUL,y,HORZ,0.051507196430900
123,9407287.000000000000000,17624.059000000001106,125.000000000000000,212.000000000000000,CRESTWOOD, , ,SWNI,y,VERT,0.337438629535000
124,214228.219000000011874,4384.064000000000306,126.000000000000000,250.000000000000000,ASHCREEK/CRESTWOOD, ,Y,SWNI, ,VERT,0.007684349239480
125,41569.641000000003260,1654.525000000000091,127.000000000000000,250.000000000000000,ASHCREEK/CRESTWOOD, ,Y,SWNI, ,VERT,0.001491099716860
126,20335084.000000000000000,21789.319999999999709,128.000000000000000,224.000000000000000,WEST PORTLAND PARK, , ,SWNI,y,VERT,0.729417864292000
127,17984114.000000000000000,29520.890999999999622,129.000000000000000,202.000000000000000,MC UNCLAIMED #13, , ,unclaimed,x, ,0.645088750426000
128,30586112.000000000000000,35728.800999999999476,130.000000000000000,227.000000000000000,ARNOLD CREEK, , ,SWNI,y,HORZ,1.097121405460000
129,16603728.000000000000000,16501.856999999999971,131.000000000000000,229.000000000000000,FAR SOUTHWEST, , ,SWNI,y,VERT,0.595574395999000
